,Company_Name,Ratings,Company_Type,Total_Employees,Sector,Total_Years,Head_Quaters,Total_Review_Count,Avg_salaries,Avg_Interview,Avg_Jobs,Benifits
88,Muthoot Finance,4.1,NBFC , 10k-50k Employees , Public , 84 years old , Kochi/Cochin +582 more,4k Reviews, 11.5k Salaries, 152 Interviews, 285  Jobs, 331  Benefits
89,eClerx,4.1,IT Services & Consulting , 10k-50k Employees , Public , 23 years old , Mumbai +17 more,4k Reviews, 25.8k Salaries, 287 Interviews, 133  Jobs, 580  Benefits
90,Ashok Leyland,4.1,Automobile , 10k-50k Employees , Public , 75 years old , Chennai +198 more,4k Reviews, 18.5k Salaries, 146 Interviews, 2  Jobs, 673  Benefits
91,Shriram Transport Finance ,4.1,NBFC , 10k-50k Employees , Public , 44 years old , Mumbai +750 more,4k Reviews, 8.9k Salaries, 146 Interviews, --  Jobs, 496  Benefits
92,Capgemini Technology Services India Limited,4.1,IT Services & Consulting , 1 Lakh+ Employees , Bengaluru/Bangalore +34 more,,,4k Reviews, 41.7k Salaries, 333 Interviews, 2  Jobs, 453  Benefits
93,Tata Projects,4.1,Engineering & Construction , 5k-10k Employees , Public , 44 years old , Mumbai +223 more,4k Reviews, 19k Salaries, 251 Interviews, 38  Jobs, 557  Benefits
94,Apollo Hospitals,4.1,Healthcare , 10k-50k Employees , Public , 40 years old , Chennai +174 more,3.9k Reviews, 15.3k Salaries, 183 Interviews, 66  Jobs, 519  Benefits
95,Siemens,4.1,Power , 5k-10k Employees , Public , 176 years old , Munich +118 more,3.9k Reviews, 26.6k Salaries, 234 Interviews, 1.2k  Jobs, 653  Benefits
96,Vivo,4.1,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 14 years old , Gurgaon/Gurugram +357 more,3.9k Reviews, 14.1k Salaries, 139 Interviews, 2  Jobs, 655  Benefits
97,JLL,4.1,Real Estate , 10k-50k Employees , Forbes Global 2000 , 26 years old , Mumbai +67 more,3.9k Reviews, 19k Salaries, 194 Interviews, 33  Jobs, 566  Benefits
98,First Source,4.1,BPO , 10k-50k Employees , Public , 22 years old , Mumbai +49 more,3.8k Reviews, 19.3k Salaries, 165 Interviews, 124  Jobs, 593  Benefits
99,L&T Construction,4.1,Engineering & Construction , 10k-50k Employees , Public , 79 years old , Chennai +320 more,3.8k Reviews, 13.2k Salaries, 404 Interviews, --  Jobs, 800  Benefits
100,JustDial,3.5,Internet , 10k-50k Employees , Public , 27 years old , Mumbai +159 more,3.8k Reviews, 15.1k Salaries, 214 Interviews, 130  Jobs, 382  Benefits
101,Hero MotoCorp,3.5,Automobile , 5k-10k Employees , Public , 39 years old , Gurgaon/Gurugram +296 more,3.7k Reviews, 14k Salaries, 238 Interviews, 7  Jobs, 604  Benefits
102,Hewlett-Packard Enterprise,3.5,Emerging Technologies , 10k-50k Employees , Forbes Global 2000 , 8 years old , Houston +94 more,3.7k Reviews, 31k Salaries, 170 Interviews, 54  Jobs, 623  Benefits
103,Omega Healthcare,3.5,Healthcare , 10k-50k Employees , 20 years old , Florida +34 more,,3.7k Reviews, 19.3k Salaries, 194 Interviews, 85  Jobs, 408  Benefits
104,Megha Engineering & Infrastructures,3.5,Engineering & Construction , 5k-10k Employees , Conglomerate , 34 years old , Hyderabad/Secunderabad +265 more,3.6k Reviews, 13.7k Salaries, 265 Interviews, 28  Jobs, 555  Benefits
105,Mahindra & Mahindra Financial Services,3.5,NBFC , 10k-50k Employees , Public , 32 years old , Mumbai +614 more,3.6k Reviews, 10k Salaries, 89 Interviews, 52  Jobs, 509  Benefits
106,Cyient,3.5,IT Services & Consulting , 10k-50k Employees , Public , 32 years old , Hyderabad/Secunderabad +29 more,3.6k Reviews, 24.7k Salaries, 163 Interviews, 262  Jobs, 487  Benefits
107,Bajaj Allianz Life Insurance,3.5,Insurance , 10k-50k Employees , 22 years old , Pune +471 more,,3.6k Reviews, 14.2k Salaries, 186 Interviews, 36  Jobs, 480  Benefits
108,D Mart,3.5,Retail , 10k-50k Employees , Fortune India 500 , 23 years old , Mumbai +199 more,3.5k Reviews, 13.5k Salaries, 220 Interviews, 75  Jobs, 482  Benefits
109,Hyundai Motor,3.5,Automobile , 10k-50k Employees , Fortune India 500 , 56 years old , Seoul +256 more,3.5k Reviews, 13.2k Salaries, 172 Interviews, 21  Jobs, 567  Benefits
110,BigBasket,3.5,Internet , 10k-50k Employees , Indian Unicorn , 12 years old , Bangalore +103 more,3.4k Reviews, 14.5k Salaries, 234 Interviews, 17  Jobs, 438  Benefits
111,Indiamart Intermesh,3.5,Internet , 1k-5k Employees , 27 years old , Noida +128 more,,3.4k Reviews, 16k Salaries, 339 Interviews, 922  Jobs, 441  Benefits
112,TVS Motor,3.5,Automobile , 5k-10k Employees , Public , 44 years old , Chennai +257 more,3.4k Reviews, 13.8k Salaries, 188 Interviews, 19  Jobs, 537  Benefits
113,Reliance Communications,3.5,Telecom , 201-500 Employees , Public , 21 years old , Navi Mumbai +406 more,3.4k Reviews, 13.3k Salaries, 59 Interviews, 2  Jobs, 373  Benefits
114,Atos Syntel,3.5,IT Services & Consulting , 5k-10k Employees , 43 years old , Troy +18 more,,3.3k Reviews, 34.2k Salaries, 168 Interviews, 43  Jobs, 538  Benefits
115,Bosch,3.5,Auto Components , 10k-50k Employees , Public , 137 years old , Gerlingen +92 more,3.3k Reviews, 17.9k Salaries, 199 Interviews, 10  Jobs, 624  Benefits
116,Standard Chartered Bank,3.5,Banking , 10k-50k Employees , Fortune India 500 , 54 years old , London +58 more,3.3k Reviews, 24.7k Salaries, 114 Interviews, 31  Jobs, 319  Benefits
117,Manappuram Finance,3.5,NBFC , 10k-50k Employees , Public , 74 years old , Thrissur/Trichur +454 more,3.3k Reviews, 7.6k Salaries, 93 Interviews, 16  Jobs, 263  Benefits
118, UST,3.5,IT Services & Consulting , 10k-50k Employees , 22 years old , Aliso Viejo +34 more,,3.3k Reviews, 33k Salaries, 250 Interviews, 128  Jobs, 453  Benefits
119,Bosch Global Software Technologies,3.5,Software Product , 10k-50k Employees , 33 years old , Gerlingen +25 more,,3.3k Reviews, 30.4k Salaries, 192 Interviews, 5  Jobs, 714  Benefits
120,Oyo Rooms,3.4,Hospitality , 1k-5k Employees , Indian Unicorn , 10 years old , Gurgaon +109 more,3.3k Reviews, 25.2k Salaries, 154 Interviews, 170  Jobs, 392  Benefits
121,SBI Cards & Payment Services,3.4,1k-5k Employees , 25 years old , Gurgaon/Gurugram +305 more,,,3.2k Reviews, 15.4k Salaries, 158 Interviews, 87  Jobs, 349  Benefits
122,Coforge,3.4,IT Services & Consulting , 10k-50k Employees , Public , 19 years old , Noida +81 more,3.2k Reviews, 29.4k Salaries, 241 Interviews, 168  Jobs, 317  Benefits
123,Cummins,3.4,Auto Components , 5k-10k Employees , Fortune India 500 , 61 years old , Columbus +94 more,3.2k Reviews, 14.3k Salaries, 170 Interviews, 33  Jobs, 481  Benefits
124,BNY Mellon,3.4,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 19 years old , New York City +14 more,3.2k Reviews, 26.3k Salaries, 177 Interviews, 537  Jobs, 554  Benefits
125,Nagarro,3.4,IT Services & Consulting , 10k-50k Employees , 27 years old , Munich +33 more,,3.2k Reviews, 18.8k Salaries, 401 Interviews, 64  Jobs, 1.2k  Benefits
126,BT Group,3.4,Telecom , 10k-50k Employees , Forbes Global 2000 , 177 years old , London +17 more,3.2k Reviews, 10.5k Salaries, 86 Interviews, 32  Jobs, 309  Benefits
127,Virtusa Consulting Services,3.4,IT Services & Consulting , 10k-50k Employees , 27 years old , Southborough +28 more,,3.2k Reviews, 43k Salaries, 272 Interviews, 110  Jobs, 334  Benefits
128,IQVIA,3.4,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 41 years old , Durham +38 more,3.2k Reviews, 23k Salaries, 256 Interviews, 33  Jobs, 548  Benefits
129,SMFG India Credit,3.4,NBFC , 10k-50k Employees , 16 years old , Mumbai +463 more,,3.2k Reviews, 10.2k Salaries, 85 Interviews, --  Jobs, 348  Benefits
130,GlobalLogic,3.4,IT Services & Consulting , 10k-50k Employees , 23 years old , San Jose +29 more,,3.2k Reviews, 28.4k Salaries, 274 Interviews, 75  Jobs, 542  Benefits
131,ICICI Lombard General Insurance Company,3.4,Insurance , 10k-50k Employees , Public , 22 years old , Mumbai +237 more,3.2k Reviews, 15.8k Salaries, 149 Interviews, 166  Jobs, 375  Benefits
132,Amdocs,3.4,Software Product , 10k-50k Employees , Forbes Global 2000 , 41 years old , Chesterfield +14 more,3.2k Reviews, 30.3k Salaries, 316 Interviews, 14  Jobs, 664  Benefits
133,Schneider Electric,3.4,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 24 years old , Paris +97 more,3.1k Reviews, 19.1k Salaries, 191 Interviews, 181  Jobs, 481  Benefits
134,Future Group,3.4,Retail , 10k-50k Employees , Conglomerate , 10 years old , Mumbai +197 more,3.1k Reviews, 12.6k Salaries, 63 Interviews, 27  Jobs, 419  Benefits
135,Intelenet Global Services,3.4,BPO , 10k-50k Employees , 23 years old , Mumbai +57 more,,3.1k Reviews, 9.5k Salaries, 33 Interviews, --  Jobs, 489  Benefits
136,CBRE,3.4,Real Estate , 10k-50k Employees , Forbes Global 2000 , 117 years old , Los Angeles +64 more,3.1k Reviews, 15k Salaries, 139 Interviews, 118  Jobs, 476  Benefits
137,Samsung,3.4,Consumer Electronics & Appliances , 5k-10k Employees , Public , 85 years old , Seoul +398 more,3k Reviews, 15.8k Salaries, 290 Interviews, 158  Jobs, 534  Benefits
138,L&T Technology Services,3.4,IT Services & Consulting , 10k-50k Employees , Public , 11 years old , Vadodara/Baroda +37 more,3k Reviews, 27.9k Salaries, 235 Interviews, 2  Jobs, 458  Benefits
139,State Bank of India,3.4,Banking , 1 Lakh+ Employees , Fortune India 500 , 217 years old , Mumbai +445 more,3k Reviews, 10.2k Salaries, 144 Interviews, 183  Jobs, 399  Benefits
140,Dell,4.1,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 39 years old , Round Rock +88 more,3k Reviews, 24.1k Salaries, 227 Interviews, 88  Jobs, 565  Benefits
141,Cholamandalam Investment & Finance,4.1,NBFC , 5k-10k Employees , Fortune India 500 , 45 years old , Chennai +573 more,3k Reviews, 8.8k Salaries, 97 Interviews, 15  Jobs, 309  Benefits
142,JBM Group,4.1,Auto Components , 1k-5k Employees , Public , 40 years old , Gurgaon/Gurugram +81 more,3k Reviews, 13k Salaries, 167 Interviews, 1  Jobs, 385  Benefits
143,Swiggy,4.1,Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Bangalore +165 more,3k Reviews, 17.8k Salaries, 222 Interviews, 373  Jobs, 364  Benefits
144,Ecom Express,4.1,Logistics , 10k-50k Employees , 11 years old , Gurgaon +579 more,,3k Reviews, 8.4k Salaries, 125 Interviews, 61  Jobs, 333  Benefits
145,Bajaj Auto,4.1,Automobile , 5k-10k Employees , Public , 78 years old , Pune +225 more,2.9k Reviews, 12.6k Salaries, 168 Interviews, 3  Jobs, 557  Benefits
146,Ekart Logistics,4.1,Logistics , 5k-10k Employees , 14 years old , San Francisco +511 more,,2.9k Reviews, 7.5k Salaries, 191 Interviews, --  Jobs, 362  Benefits
147,SBI Life Insurance Company,4.1,Insurance , 10k-50k Employees , 22 years old , Mumbai +493 more,,2.9k Reviews, 9.8k Salaries, 140 Interviews, 8  Jobs, 329  Benefits
